ANTIOQUIA;MEDELLIN;SEC.ESC.LA ESPERAZA No 2;Carrera 29 No. 102A-20
ANTIOQUIA;MEDELLIN;INST.EDUC. LA CANDELARIA;Calle 106 No. 32-100
ANTIOQUIA;MEDELLIN;INST.EDUC.MARIA DE LOS A.;Calle 103 No. 33D-75
ANTIOQUIA;MEDELLIN;SEC.ESC. PABLO VI;Carrera 42B No. 110 A 28
ANTIOQUIA;MEDELLIN;SEC.ESC. AGRIPINA MONTES DEL;Calle 95 No. 42B-44
ANTIOQUIA;MEDELLIN;SEC.ESC. MEDELLIN;Calle 96 No. 36-45
ANTIOQUIA;MEDELLIN;SEC.ESC. DIVINA PROVIDENCIA;Calle 108 No 43B - 17
ANTIOQUIA;MEDELLIN;INST. EDUC. ASIA IGNACIANA;Calle 122 N° 51B-30
ANTIOQUIA;MEDELLIN;SEC.ESC.  MANUEL URIBE ANGEL;Carrera 49A No.107-65
ANTIOQUIA;MEDELLIN;INST.EDUC. BARRIO SANTA CRUZ;Calle 101 No. 43A-23
ANTIOQUIA;MEDELLIN;SEC.ESC. REPUB. DE NICARAGUA;Carrera 48 No. 103B-01
ANTIOQUIA;MEDELLIN;SEC.ESC. ARZOBISPO GARCIA;Carrera 49 No. 98-48
ANTIOQUIA;MEDELLIN;INST.EDUC. REPUB. DE HONDURAS;Carrera 50B No. 97A-30
ANTIOQUIA;MEDELLIN;INST.EDUC. REPUBLICA BARBADOS;Carrera 36 No. 85B-140
ANTIOQUIA;MEDELLIN;INST.EDUC. SAN LORENZO DE A.;Carrera 39 No. 80-33
ANTIOQUIA;MEDELLIN;INSTITUTO VICARIAL JESUS M.;Carrera 45 No. 85-154
ANTIOQUIA;MEDELLIN;SEC.ESC.NTRA SRA DE LAS NIEVE;Calle 79 No. 44 - 57
ANTIOQUIA;MEDELLIN;INST.EDUC MANUELA BELTRAN;Carrera 37 No. 71-47
ANTIOQUIA;MEDELLIN;INST.EDUC.PEDRO LUIS VILLA PR;Carrera 41B No. 66E-50
ANTIOQUIA;MEDELLIN;COL.AGUSTINIANO DE SAN NICOLA;Carrera 48 No. 93-13
ANTIOQUIA;MEDELLIN;INST.EDUC.MONS.FCO CRISTO;Carrera 50D No. 90-49
ANTIOQUIA;MEDELLIN;INST.EDUC. GILBERTO ALZATE A.;Calle 92 No. 51A-100
ANTIOQUIA;MEDELLIN;INST.EDUC. CAMPO VALDES;Calle 83 No. 47-33
ANTIOQUIA;MEDELLIN;INST.EDUC. ALFONSO MORA NARAN;Carrera 48A  No. 77-68
ANTIOQUIA;MEDELLIN;INST.EDUC. JOSE MARIA BRAVO M;Calle 70 No. 47A-04
ANTIOQUIA;MEDELLIN;INST. EDUC. FRANCISCO MIRANDA;Carrera 51C N° 79-56
ANTIOQUIA;MEDELLIN;INST.EDUC. JAVIER A LONDOÑO;Calle 71 No. 51D-26
ANTIOQUIA;MEDELLIN;INST.EDUC. JULIO CESAR GARCIA;Calle 111A N° 65-26
ANTIOQUIA;MEDELLIN;SEC.ESC. EDUARDO URIBE BOTERO;Carrera 74 No. 112-30
ANTIOQUIA;MEDELLIN;COLISEO FERIAS AURELIO MEJIA;Carrera 64C No. 103EEE-98
ANTIOQUIA;MEDELLIN;SEC.ESC. TRICENTENARIO;Carrera 63A No. 94A-23
ANTIOQUIA;MEDELLIN;INST.EDUC. MARIA MONTESSORI;Carrera 69A No. 92C-87
ANTIOQUIA;MEDELLIN;INST.EDUC. REPUBLICA DE URUGU;Calle 91A  No. 70A-123
ANTIOQUIA;MEDELLIN;INST.EDUC. MAESTRO ARENAS BET;Calle 98A No. 65-120
ANTIOQUIA;MEDELLIN;INST.EDUC. CIUDADELA LAS AMER;Calle 111 No. 79-77
ANTIOQUIA;MEDELLIN;INST.EDUC. MAESTRO FDO BOTERO;Calle 104 No. 72A-80
ANTIOQUIA;MEDELLIN;INST.EDUC. DOCE DE OCTUBRE;Carrera 77B No. 103-05
ANTIOQUIA;MEDELLIN;SEC.ESC. LEON DE GREIFF;Calle 101CC No. 82E-72
ANTIOQUIA;MEDELLIN;INST.EDUC. ALFREDO COCK ARANG;Carrera 72 No. 99-55
ANTIOQUIA;MEDELLIN;SEC.ESC. SAN MARTIN DE PORRES;Carrera 75A No. 97-135
ANTIOQUIA;MEDELLIN;INST.EDUC. KENNEDY;Carrera 76 No. 92-199
ANTIOQUIA;MEDELLIN;COL.VIDA Y PAZ PROGRESAR UNID;Carrera 83A No. 106 D 5
ANTIOQUIA;MEDELLIN;INST.EDUC. SAN VICENTE DE PAU;Carrera 71A No. 79D-01
ANTIOQUIA;MEDELLIN;SEC.ESC. EL DIAMANTE;Calle 79A No. 86-09
ANTIOQUIA;MEDELLIN;INST.EDUC. FE Y ALEGRIA VILLA;Calle 77A No. 90D-35
ANTIOQUIA;MEDELLIN;INST.EDUC. JORGE ROBLEDO;Calle 65 N° 87-74
ANTIOQUIA;MEDELLIN;SEC.ESC. SANTA MARGARITA;Carrera 105B No. 62-68
ANTIOQUIA;MEDELLIN;SEC.ESC. LAS ESTANCIAS;Calle 52 No. 4-38
ANTIOQUIA;MEDELLIN;SEC.ESC.SOR MARIA LUISA COURB;Carrera 12 No. 52-44
ANTIOQUIA;MEDELLIN;INST.EDUC. SAN FCO DE ASIS;Calle 56 No. 16-18
ANTIOQUIA;MEDELLIN;ESC. REPUBLICA DEL PERU;Calle 52 No. 23-114
ANTIOQUIA;MEDELLIN;SEC.ESC. JULIA AGUDELO;Calle 58 No. 28-58
